Phrase	Translation
不客气。	[['You are welcome.', 687904.0]]
不客气	[["Don't mention it.", 63874.0]]
对不起。	[['Sorry.', 3378159.0]]
对不起！	[["I'm sorry!", 4555644.0]]
对不起......	[['Sorry...', 39996.0]]
没关系。	[["It doesn't matter.", 37894.0]]
没关系！	[['No problem.', 551443.0]]
怎么样？	[['How?', 4625687.0]]
工作怎么样？	[['How is work?', 5107360.0]]
明天怎么样？	[['How about for tomorrow?', 323131.0]]
多少苹果？	[['How many apples are there?', 1164076.0]]
什么？	[['What?', 8453907.0]]
什么时候？	[['When?', 4625694.0]]
天气怎么样？	[['How is the weather?', 64158.0]]
今天天气怎么样？	[["How's the weather today?", 6106242.0]]
明天天气怎么样？	[["What'll tomorrow's weather be like?", 6480666.0]]
今天下午下雨。	[['This afternoon it is going to rain.', 7825173.0]]
今天上午下雨。	[['It will rain this morning.', 7834036.0]]
谢谢。	[['Thank you.', 1876041.0]]
学校怎么样？	[['How are you doing in school?', 5839806.0]]
再见！	[['See you.', 1151432.0]]
再见。	[['See you later.', 1841588.0]]
再见，Ian。	[['Goodbye, Ian.', 4844769.0]]
爱喜欢爱。	[['Love loves love.', 477374.0]]
爱爱爱。	[['Love loves love.', 477374.0]]
我们爱爸爸。	[['We love Dad.', 8321664.0]]
Tom不喜欢Mary。	[["Tom doesn't like Mary.", 1029286.0]]
不。	[['No.', 477061.0]]
我们不喜欢下雨。	[["We don't like rain.", 1042310.0]]
吃水果。	[['Eat fruit.', 6750930.0]]
吃菜。	[['Eat vegetables.', 8108700.0]]
今天的天气怎么样？	[['How is the weather today?', 242617.0]]
我们爱我们的学校。	[['We love our school.', 4500880.0]]
读！	[['Read!', 1157647.0]]
下午好。	[['Good afternoon.', 499689.0]]
好好学习。	[['Study hard.', 53465.0]]
好的。	[['Okay.', 1391646.0]]
好。	[['Good.', 1148281.0]]
好	[['Good.', 1148281.0]]
好大的狗！	[['What a huge dog!', 572577.0]]
喝茶。	[['Drink tea.', 8108694.0]]
我们什么都喝。	[['We drink everything.', 470169.0]]
今天天气很好。	[['The weather is good today.', 1867475.0]]
Ken的狗很大。	[["Ken's dog is very big.", 387479.0]]
很好，谢谢。	[['Fine, thanks.', 707195.0]]
Bill的朋友很多。	[['Bill has many friends.', 34569.0]]
很好！	[["That's good.", 2123563.0]]
很好吃。	[['Delicious.', 6750923.0]]
谢谢，很好！	[['Thanks, great!', 8261970.0]]
今天下午天气会很好。	[['It will be fine this afternoon.', 242537.0]]
明天会下雨。	[['Tomorrow it will rain.', 1507036.0]]
明天不会下雨。	[['It will not rain tomorrow.', 5543469.0]]
今天星期几？	[['What day is it today?', 476431.0]]
现在几点？10点。	[['What time is it now? "It\'s 10 o\'clock."', 826485.0]]
昨天星期几？	[['What day was yesterday?', 5575493.0]]
昨天星期几?	[['Yesterday was what day of the week?', 5573371.0]]
现在几点？	[['What time is it?', 428402.0]]
大家好！	[['Hi, everybody.', 3924471.0]]
打电话回家！	[['Call home!', 1730009.0]]
回家！	[['Go home!', 3412011.0]]
回家。	[['Go home.', 2230769.0]]
谢谢大家！	[['Thanks, everybody!', 10251062.0]]
大家好。	[['Hi, everybody.', 3924471.0]]
叫什么名字?	[["What's your name?", 408293.0]]
我们叫我们的狗Johnnie。	[['We call our dog Johnnie.', 65561.0]]
叫Ishmael。	[['Call Ishmael.', 1074934.0]]
狗不会叫。	[["The dog couldn't bark.", 2489590.0]]
狗会叫。	[['Dogs bark.', 1357070.0]]
开电视。	[['Turn on the TV.', 1180903.0]]
我们喜欢看电视。	[['We enjoyed watching TV.', 588352.0]]
Felicja喜欢看电视。	[['Felicja likes to watch TV.', 1264964.0]]
很好看。	[['Looks really nice.', 322160.0]]
看！飞机！	[['Look! An airplane!', 6746522.0]]
我们明天回来。	[['We will come back tomorrow.', 1764879.0]]
很高兴回来	[["It's nice to be back.", 3635991.0]]
来看看！	[['Come and take a look.', 3096187.0]]
怎么了？	[["What's the matter?", 394894.0]]
Tom昨天看了电视。	[['Tom watched TV yesterday.', 37132.0]]
下雨了。	[["It's raining.", 456237.0]]
好多了。	[["It's better.", 691604.0]]
几点了？	[['What time is it?', 428402.0]]
昨天下雨了。	[['It rained yesterday.', 63300.0]]
爸爸回家了。	[['Father came home.', 318837.0]]
现在几点了？	[['What time is it?', 428402.0]]
我们喝了很多。	[['We had a lot to drink.', 4769444.0]]
现在的天气怎么样了？	[["What's the weather like now?", 5094805.0]]
好多了！	[['So much better!', 6581136.0]]
来了。	[["I'm coming.", 52081.0]]
我们的来了。	[['Ours has come.', 8727144.0]]
天气好冷。	[["It's freezing.", 52011.0]]
天气冷了。	[['The weather is getting cold.', 3703616.0]]
今天很冷。	[["It's cold today.", 242809.0]]
明天会下雨吗？	[['Will it rain tomorrow?', 475766.0]]
喝点东西吗？	[['Want a drink?', 27379.0]]
明天天气会好吗？	[['Will the weather be good tomorrow?', 386687.0]]
电影好看吗？	[['Was the movie good?', 26452.0]]
今天下午会下雨吗？	[['Will it rain this afternoon?', 240052.0]]
昨天天气冷吗？	[['Was it cold yesterday?', 244510.0]]
下雨吗？	[['Is it raining?', 1289095.0]]
狗叫了吗？	[['Did the dog bark?', 2509656.0]]
好吃吗？	[['Is it tasty?', 5758419.0]]
好了吗？	[['Done?', 6146104.0]]
苹果买不了了！	[['Apples have sold-out!', 841874.0]]
今天我们买了好多东西。	[['We bought a lot of stuff today.', 10187655.0]]
猫！	[['Cat!', 6581103.0]]
猫叫了叫。	[['The cat meowed.', 2549627.0]]
吃了没。	[['Have you eaten?', 953286.0]]
今天没昨天冷。	[['It is less cold today than it was yesterday.', 242847.0]]
吃了没	[['Have you eaten?', 953286.0]]
我们没吃。	[["We haven't eaten.", 7855805.0]]
哪里？	[['Where?', 4606511.0]]
哪个？	[['Which one?', 4668834.0]]
那没什么大不了的。	[["That's no big deal.", 3315227.0]]
看那里。	[['Look there.', 1635351.0]]
那里很冷。	[['That place is very cold.', 5573345.0]]
那不好。	[["That wasn't nice.", 2250997.0]]
那看来很好。	[['That feels good.', 2250109.0]]
那里的天气怎么样？	[['How is the weather there?', 50761.0]]
现在呢？	[['And now?', 397570.0]]
怎么会呢？	[['How come?', 2116272.0]]
能来点茶吗？	[['Could you get me some tea?', 240981.0]]
你叫什么名字？	[["What's your name?", 408293.0]]
你好。	[['Hi.', 538123.0]]
谢谢你。	[['I thank you.', 252766.0]]
你什么时候回家？	[['When are you going home?', 398929.0]]
你今天怎么样？	[['How are you doing today?', 429851.0]]
你好，怎么样？	[['Good day, how are you?', 415678.0]]
你喜欢什么？	[['What are you fond of?', 17393.0]]
你喜欢吗 ?	[['Do you like it?', 433500.0]]
你回来了吗？	[["You've come back?", 448189.0]]
你好吗？	[['How are you?', 373320.0]]
很高兴认识你。	[['Nice to meet you.', 499617.0]]
你多大了？	[['How old are you?', 436243.0]]
你呢？	[['What about you?', 1642551.0]]
你今天几点回家？	[['What time will you go home today?', 717295.0]]
你喜欢吃什么？	[['What do you like to eat?', 370691.0]]
你几点回家？	[['What time do you go home?', 70296.0]]
你怎么样？	[['How about you?', 16491.0]]
那你呢?	[['How about you?', 16491.0]]
你喜欢吗？	[['Do you like it?', 433500.0]]
你能来吗？	[['Can you come?', 38302.0]]
你买了什么？	[['What did you buy?', 24674.0]]
你不吃没关系。	[["It's OK not to eat it.", 435766.0]]
你很漂亮。	[["You're very pretty.", 863589.0]]
你的狗怎么了？	[["What's wrong with your dog?", 3426105.0]]
你爸爸什么时候回家？	[['When did your father come home?', 64078.0]]
你喜欢下雨吗？	[['Do you like rain?', 434604.0]]
你喝了什么？	[['What were you drinking?', 4498171.0]]
