Num	Phrase	Translation
1	知足常乐。	[['Happy is the man who is contented.', 240781.0]]
2	算了。	[['Forget it.', 20398.0]]
3	哦。	[['Duh.', 695839.0]]
4	苦尽甘来。	[['No sweet without sweat.', 18397.0], ['No pain， no gain.', 18370.0], ['No pain no gain.', 1589561.0]]
5	嗨。	[['Hi.', 538123.0]]
6	不言而喻。	[['That goes without saying.', 42466.0]]
7	告辞！	[['Goodbye!', 516745.0]]
8	当心！	[['Look out!', 20719.0], ['Watch out!', 375828.0]]
9	嗯..	[['Hmm.', 6581109.0]]
10	可笑!	[['Funny!', 6744874.0]]
11	活该。	[['Serves you right.', 7766368.0], ['You reap what you sow.', 32882.0]]
12	鞠躬！	[['Bow down!', 7532023.0]]
13	无可奉告。	[['No comment.', 873323.0]]
14	啥？	[['Say what?', 8453907.0]]
15	攻击！	[['Attack!', 1972610.0]]
16	进攻！	[['Attack!', 1972610.0]]
17	将军。	[['Check.', 9932761.0]]
